品名	最低价	最高价	均价	单位	日期
荸荠	2.0	3.0	2.5	斤	2022-04-13 00:00:00
芋头	2.0	2.6	2.3	斤	2022-04-13 00:00:00
姜	1.0	2.5	1.75	斤	2022-04-13 00:00:00
大蒜	2.5	3.5	3.0	斤	2022-04-13 00:00:00
大蒜	3.0	3.8	3.4	斤	2022-04-13 00:00:00
蒜米	2.6	3.6	3.1	斤	2022-04-13 00:00:00
大葱	2.0	2.6	2.3	斤	2022-04-13 00:00:00
小葱	1.5	2.0	1.75	斤	2022-04-13 00:00:00
蒜苗	1.7	3.0	2.35	斤	2022-04-13 00:00:00
蒜黄	3.0	4.0	3.5	斤	2022-04-13 00:00:00
青蒜	1.6	1.8	1.7	斤	2022-04-13 00:00:00
平菇	2.0	3.0	2.5	斤	2022-04-13 00:00:00
香菇	3.5	5.5	4.5	斤	2022-04-13 00:00:00
白玉菇	3.0	4.0	3.5	斤	2022-04-13 00:00:00
口蘑	7.0	7.5	7.25	斤	2022-04-13 00:00:00
杏鲍菇	3.0	3.5	3.25	斤	2022-04-13 00:00:00
金针菇	3.0	3.5	3.25	斤	2022-04-13 00:00:00
油菜	2.0	2.5	2.25	斤	2022-04-13 00:00:00
小白菜	2.0	2.5	2.25	斤	2022-04-13 00:00:00
油麦菜	1.5	2.0	1.75	斤	2022-04-13 00:00:00
品名	最低价	最高价	均价	单位	日期
整牛	33.0	33.5	33.25	斤	2022-04-13 00:00:00
牛前腱	37.0	38.0	37.5	斤	2022-04-13 00:00:00
牛后腱	37.0	38.0	37.5	斤	2022-04-13 00:00:00
牛前腿	34.0	35.0	34.5	斤	2022-04-13 00:00:00
牛后腿	34.0	35.0	34.5	斤	2022-04-13 00:00:00
牛腰窝	34.0	35.0	34.5	斤	2022-04-13 00:00:00
牛柳	37.0	37.0	37.0	斤	2022-04-13 00:00:00
精牛柳	38.0	40.0	39.0	斤	2022-04-13 00:00:00
牛腩	35.0	35.0	35.0	斤	2022-04-13 00:00:00
牛林	35.0	35.0	35.0	斤	2022-04-13 00:00:00
牛油	6.0	6.0	6.0	斤	2022-04-13 00:00:00
牛金钱腱	50.0	50.0	50.0	斤	2022-04-13 00:00:00
牛筋头巴脑	30.0	32.0	31.0	斤	2022-04-13 00:00:00
牛骨	5.0	5.0	5.0	斤	2022-04-13 00:00:00
牛排骨	32.0	32.0	32.0	斤	2022-04-13 00:00:00
牛板筋	35.0	35.0	35.0	斤	2022-04-13 00:00:00
牛尾	32.0	33.0	32.5	斤	2022-04-13 00:00:00
牛百叶	55.0	55.0	55.0	斤	2022-04-13 00:00:00
牛上脑	34.0	35.0	34.5	斤	2022-04-13 00:00:00
整羊	25.0	26.0	25.5	斤	2022-04-13 00:00:00
品名	最低价	最高价	均价	单位	日期
紫苏叶	7.0	7.5	7.25	斤	2022-04-13 00:00:00
豌豆苗	4.5	5.0	4.75	斤	2022-04-13 00:00:00
快菜	1.5	2.0	1.75	斤	2022-04-13 00:00:00
苦菊	2.5	3.0	2.75	斤	2022-04-13 00:00:00
穿心莲	1.5	2.0	1.75	斤	2022-04-13 00:00:00
木耳菜	3.5	4.0	3.75	斤	2022-04-13 00:00:00
椰青	7.0	8.0	7.5	个	2022-04-13 00:00:00
菠萝	2.0	2.6	2.3	斤	2022-04-13 00:00:00
香水菠萝	3.5	4.0	3.75	斤	2022-04-13 00:00:00
圣女果	6.0	10.0	8.0	斤	2022-04-13 00:00:00
百香果	14.0	14.5	14.25	斤	2022-04-13 00:00:00
桑葚	6.0	8.0	7.0	斤	2022-04-13 00:00:00
黑枣	6.0	12.0	9.0	斤	2022-04-13 00:00:00
白草莓	10.0	35.0	22.5	斤	2022-04-13 00:00:00
九九草莓	9.0	14.0	11.5	斤	2022-04-13 00:00:00
甜宝草莓	4.0	8.0	6.0	斤	2022-04-13 00:00:00
红颜草莓	4.0	9.0	6.5	斤	2022-04-13 00:00:00
蓝莓	35.0	70.0	52.5	斤	2022-04-13 00:00:00
火龙果	5.2	10.0	7.6	斤	2022-04-13 00:00:00
火龙果	4.0	6.0	5.0	斤	2022-04-13 00:00:00
品名	最低价	最高价	均价	单位	日期
花牛	2.6	5.0	3.8	斤	2022-04-13 00:00:00
阿克苏	3.8	5.0	4.4	斤	2022-04-13 00:00:00
国光	1.8	2.8	2.3	斤	2022-04-13 00:00:00
寒富苹果	1.4	2.0	1.7	斤	2022-04-13 00:00:00
阳光玫瑰	15.0	45.0	30.0	斤	2022-04-13 00:00:00
红提	6.0	9.0	7.5	斤	2022-04-13 00:00:00
克伦生	5.0	15.0	10.0	斤	2022-04-13 00:00:00
郁金香	13.0	16.0	14.5	斤	2022-04-13 00:00:00
乒乓球	11.0	17.0	14.0	斤	2022-04-13 00:00:00
黑提	12.0	17.0	14.5	斤	2022-04-13 00:00:00
巨峰	4.0	5.0	4.5	斤	2022-04-13 00:00:00
小台农	4.6	6.5	5.55	斤	2022-04-13 00:00:00
大台农	5.5	8.5	7.0	斤	2022-04-13 00:00:00
青皮芒果	5.5	6.5	6.0	斤	2022-04-13 00:00:00
玉纹	8.0	12.0	10.0	斤	2022-04-13 00:00:00
高乐蜜	5.0	8.0	6.5	斤	2022-04-13 00:00:00
水仙芒果	6.0	10.0	8.0	斤	2022-04-13 00:00:00
红灯	20.0	24.0	22.0	斤	2022-04-13 00:00:00
水晶	35.0	45.0	40.0	斤	2022-04-13 00:00:00
美早	25.0	60.0	42.5	斤	2022-04-13 00:00:00
品名	最低价	最高价	均价	单位	日期
白不老	3.2	4.2	3.7	斤	2022-04-13 00:00:00
油豆	4.5	6.0	5.25	斤	2022-04-13 00:00:00
毛豆	7.5	8.0	7.75	斤	2022-04-13 00:00:00
玉米	2.2	2.4	2.3	斤	2022-04-13 00:00:00
花生	6.0	7.0	6.5	斤	2022-04-13 00:00:00
苦瓜	4.0	4.5	4.25	斤	2022-04-13 00:00:00
丝瓜	2.5	3.0	2.75	斤	2022-04-13 00:00:00
西葫芦	1.0	1.5	1.25	斤	2022-04-13 00:00:00
佛手瓜	2.5	2.8	2.65	斤	2022-04-13 00:00:00
贝贝南瓜	4.5	4.7	4.6	斤	2022-04-13 00:00:00
金丝南瓜	1.8	1.9	1.85	斤	2022-04-13 00:00:00
板栗南瓜	3.5	3.7	3.6	斤	2022-04-13 00:00:00
南北瓜	1.6	2.0	1.8	斤	2022-04-13 00:00:00
尖椒	3.3	3.7	3.5	斤	2022-04-13 00:00:00
红尖椒	9.0	10.0	9.5	斤	2022-04-13 00:00:00
美人椒	20.0	21.0	20.5	斤	2022-04-13 00:00:00
螺丝椒	6.0	8.0	7.0	斤	2022-04-13 00:00:00
柿子椒	2.2	3.0	2.6	斤	2022-04-13 00:00:00
线椒	9.0	10.0	9.5	斤	2022-04-13 00:00:00
杭椒	3.0	4.0	3.5	斤	2022-04-13 00:00:00
品名	最低价	最高价	均价	单位	日期
散菜花	1.6	2.8	2.2	斤	2022-04-13 00:00:00
绿菜花	3.0	4.0	3.5	斤	2022-04-13 00:00:00
绿豆芽	0.95	1.0	0.98	斤	2022-04-13 00:00:00
黄豆芽	0.85	0.9	0.88	斤	2022-04-13 00:00:00
番茄	1.8	3.0	2.4	斤	2022-04-13 00:00:00
番茄	2.3	3.5	2.9	斤	2022-04-13 00:00:00
番茄	3.5	4.2	3.85	斤	2022-04-13 00:00:00
黄瓜	1.0	1.5	1.25	斤	2022-04-13 00:00:00
黄瓜	2.0	3.0	2.5	斤	2022-04-13 00:00:00
小黄瓜	2.5	3.8	3.15	斤	2022-04-13 00:00:00
茄子	1.2	2.6	1.9	斤	2022-04-13 00:00:00
长茄	1.3	2.5	1.9	斤	2022-04-13 00:00:00
广茄	2.5	5.0	3.75	斤	2022-04-13 00:00:00
线茄	1.8	4.5	3.15	斤	2022-04-13 00:00:00
冬瓜	2.3	2.5	2.4	斤	2022-04-13 00:00:00
毛冬瓜	2.5	3.0	2.75	斤	2022-04-13 00:00:00
架豆	2.5	4.5	3.5	斤	2022-04-13 00:00:00
豆王	3.0	5.0	4.0	斤	2022-04-13 00:00:00
扁豆	2.5	4.0	3.25	斤	2022-04-13 00:00:00
豇豆	6.0	7.0	6.5	斤	2022-04-13 00:00:00
品名	最低价	最高价	均价	单位	日期
鸡翅	11.0	11.0	11.0	斤	2022-04-13 00:00:00
鸡翅尖	7.5	7.5	7.5	斤	2022-04-13 00:00:00
鸡翅中	22.0	22.0	22.0	斤	2022-04-13 00:00:00
鸡翅根	8.5	8.5	8.5	斤	2022-04-13 00:00:00
鸡边腿	7.0	7.0	7.0	斤	2022-04-13 00:00:00
鸡排腿	7.5	7.5	7.5	斤	2022-04-13 00:00:00
鸡琵琶腿	8.0	8.0	8.0	斤	2022-04-13 00:00:00
鸡胗	13.0	18.0	15.5	斤	2022-04-13 00:00:00
鸡爪	20.0	20.0	20.0	斤	2022-04-13 00:00:00
鸡心	6.0	6.5	6.25	斤	2022-04-13 00:00:00
鸡肝	3.0	3.0	3.0	斤	2022-04-13 00:00:00
鸡脖子	5.0	5.0	5.0	斤	2022-04-13 00:00:00
鸡头	3.0	3.0	3.0	斤	2022-04-13 00:00:00
鸡架子	3.0	3.0	3.0	斤	2022-04-13 00:00:00
白条乌鸡	12.0	12.0	12.0	斤	2022-04-13 00:00:00
黑爪公鸡	15.0	15.0	15.0	斤	2022-04-13 00:00:00
白条湖鸭	7.0	7.0	7.0	斤	2022-04-13 00:00:00
鸭腿	6.5	7.0	6.75	斤	2022-04-13 00:00:00
箱鸡蛋	217.0	222.0	219.5	箱	2022-04-13 00:00:00
箱鸡蛋	4.93	5.05	4.99	斤	2022-04-13 00:00:00
品名	最低价	最高价	均价	单位	日期
猪蹄	19.0	20.0	19.5	斤	2022-04-13 00:00:00
纯排骨	18.0	20.0	19.0	斤	2022-04-13 00:00:00
纯腔骨	6.5	8.0	7.25	斤	2022-04-13 00:00:00
腔排骨	12.0	13.0	12.5	斤	2022-04-13 00:00:00
梅花骨	8.0	9.0	8.5	斤	2022-04-13 00:00:00
棒骨	7.0	8.5	7.75	斤	2022-04-13 00:00:00
猪头	8.0	8.0	8.0	斤	2022-04-13 00:00:00
猪口条	14.0	14.0	14.0	斤	2022-04-13 00:00:00
猪耳	26.0	26.0	26.0	斤	2022-04-13 00:00:00
猪脑	25.0	25.0	25.0	斤	2022-04-13 00:00:00
猪肚	22.0	22.0	22.0	斤	2022-04-13 00:00:00
猪板油	5.0	6.0	5.5	斤	2022-04-13 00:00:00
肥膘肉	4.0	5.0	4.5	斤	2022-04-13 00:00:00
猪腰子	12.0	13.0	12.5	斤	2022-04-13 00:00:00
猪心	6.0	7.0	6.5	斤	2022-04-13 00:00:00
猪肝	4.0	4.5	4.25	斤	2022-04-13 00:00:00
猪肺	3.0	3.5	3.25	个	2022-04-13 00:00:00
猪皮	3.0	5.0	4.0	斤	2022-04-13 00:00:00
猪肠头	15.0	16.0	15.5	斤	2022-04-13 00:00:00
猪肠	14.0	15.0	14.5	斤	2022-04-13 00:00:00
品名	最低价	最高价	均价	单位	日期
小米椒	29.0	30.0	29.5	斤	2022-04-13 00:00:00
彩椒	6.0	7.0	6.5	斤	2022-04-13 00:00:00
白萝卜	0.7	0.9	0.8	斤	2022-04-13 00:00:00
心里美	1.4	1.7	1.55	斤	2022-04-13 00:00:00
卞萝卜	1.5	1.6	1.55	斤	2022-04-13 00:00:00
青萝卜	2.4	2.5	2.45	斤	2022-04-13 00:00:00
青萝卜	0.8	1.4	1.1	斤	2022-04-13 00:00:00
胡萝卜	0.8	1.4	1.1	斤	2022-04-13 00:00:00
胡萝卜	1.0	1.4	1.2	斤	2022-04-13 00:00:00
土豆	0.9	1.2	1.05	斤	2022-04-13 00:00:00
土豆	1.5	1.8	1.65	斤	2022-04-13 00:00:00
葱头	1.4	1.6	1.5	斤	2022-04-13 00:00:00
葱头	1.4	1.6	1.5	斤	2022-04-13 00:00:00
山药	4.0	5.0	4.5	斤	2022-04-13 00:00:00
山药	6.0	7.5	6.75	斤	2022-04-13 00:00:00
莲藕	3.5	4.0	3.75	斤	2022-04-13 00:00:00
红薯	2.2	2.5	2.35	斤	2022-04-13 00:00:00
红薯	3.0	3.5	3.25	斤	2022-04-13 00:00:00
紫薯	3.0	3.5	3.25	斤	2022-04-13 00:00:00
茭白	4.0	5.0	4.5	斤	2022-04-13 00:00:00
品名	最低价	最高价	均价	单位	日期
大白菜	1.1	1.6	1.35	斤	2022-04-13 00:00:00
娃娃菜	1.5	1.8	1.65	斤	2022-04-13 00:00:00
小白菜	1.0	1.3	1.15	斤	2022-04-13 00:00:00
圆白菜	1.3	1.6	1.45	斤	2022-04-13 00:00:00
圆白菜	0.5	1.0	0.75	斤	2022-04-13 00:00:00
紫甘蓝	1.1	1.2	1.15	斤	2022-04-13 00:00:00
芹菜	1.5	2.3	1.9	斤	2022-04-13 00:00:00
西芹	2.0	2.5	2.25	斤	2022-04-13 00:00:00
菠菜	1.0	1.8	1.4	斤	2022-04-13 00:00:00
莴笋	1.0	1.6	1.3	斤	2022-04-13 00:00:00
团生菜	1.0	1.8	1.4	斤	2022-04-13 00:00:00
散叶生菜	2.0	2.5	2.25	斤	2022-04-13 00:00:00
罗马生菜	3.5	3.8	3.65	斤	2022-04-13 00:00:00
油菜	0.8	1.0	0.9	斤	2022-04-13 00:00:00
香菜	1.5	2.0	1.75	斤	2022-04-13 00:00:00
茴香	1.5	2.0	1.75	斤	2022-04-13 00:00:00
韭菜	1.2	1.8	1.5	斤	2022-04-13 00:00:00
苦菊	1.5	2.5	2.0	斤	2022-04-13 00:00:00
油麦菜	0.8	1.5	1.15	斤	2022-04-13 00:00:00
菜花	2.2	2.5	2.35	斤	2022-04-13 00:00:00
品名	最低价	最高价	均价	单位	日期
鄂、湘、川脐橙	2.0	3.8	2.9	斤	2022-04-13 00:00:00
血橙/二月红/中华红	2.0	3.5	2.75	斤	2022-04-13 00:00:00
沃柑	3.0	6.0	4.5	斤	2022-04-13 00:00:00
黄果柑	1.2	1.6	1.4	斤	2022-04-13 00:00:00
冰糖橙	1.3	3.5	2.4	斤	2022-04-13 00:00:00
芦柑	1.2	2.6	1.9	斤	2022-04-13 00:00:00
金桔	4.0	8.0	6.0	斤	2022-04-13 00:00:00
油桃	6.0	11.0	8.5	斤	2022-04-13 00:00:00
蟠桃	11.0	15.0	13.0	斤	2022-04-13 00:00:00
黄油桃	9.0	12.0	10.5	斤	2022-04-13 00:00:00
春雪	9.0	14.0	11.5	斤	2022-04-13 00:00:00
猕猴桃	3.3	4.0	3.65	斤	2022-04-13 00:00:00
猕猴桃	2.2	3.0	2.6	斤	2022-04-13 00:00:00
李子	9.0	12.0	10.5	斤	2022-04-13 00:00:00
金太阳	14.0	15.0	14.5	斤	2022-04-13 00:00:00
无籽小号-大号	4.0	4.3	4.15	斤	2022-04-13 00:00:00
麒麟、甜蜜蜜	5.5	6.5	6.0	斤	2022-04-13 00:00:00
黑美人	3.5	4.0	3.75	斤	2022-04-13 00:00:00
甜王	4.0	4.5	4.25	斤	2022-04-13 00:00:00
特小凤	3.6	4.5	4.05	斤	2022-04-13 00:00:00
品名	最低价	最高价	均价	单位	日期
去骨羊前腿	34.0	35.0	34.5	斤	2022-04-13 00:00:00
去骨羊后腿	35.0	36.0	35.5	斤	2022-04-13 00:00:00
羊腰窝	32.0	32.0	32.0	斤	2022-04-13 00:00:00
羊肉片	36.0	38.0	37.0	斤	2022-04-13 00:00:00
羊腰子	15.0	15.5	15.25	个	2022-04-13 00:00:00
羊蝎子	12.0	15.0	13.5	斤	2022-04-13 00:00:00
羊蝎子	25.0	26.0	25.5	斤	2022-04-13 00:00:00
羊排骨	25.0	25.0	25.0	斤	2022-04-13 00:00:00
羊尾巴油	8.0	9.0	8.5	斤	2022-04-13 00:00:00
羊小腿	22.0	22.0	22.0	斤	2022-04-13 00:00:00
羊腱子肉	35.0	35.0	35.0	斤	2022-04-13 00:00:00
羊上脑	35.0	35.0	35.0	斤	2022-04-13 00:00:00
羊骨头	10.0	11.0	10.5	斤	2022-04-13 00:00:00
羊腩	25.0	25.0	25.0	斤	2022-04-13 00:00:00
羊里脊	34.0	35.0	34.5	斤	2022-04-13 00:00:00
淘汰鸡	9.5	10.0	9.75	斤	2022-04-13 00:00:00
淘汰鸡	9.3	9.5	9.4	斤	2022-04-13 00:00:00
仔鸡	7.5	7.5	7.5	斤	2022-04-13 00:00:00
肉鸡	7.3	7.5	7.4	斤	2022-04-13 00:00:00
鸡胸	6.5	7.0	6.75	斤	2022-04-13 00:00:00
品名	最低价	最高价	均价	单位	日期
散鸡蛋	5.2	5.2	5.2	斤	2022-04-13 00:00:00
生鸭蛋	7.0	7.5	7.25	斤	2022-04-13 00:00:00
熟鸭蛋	7.5	8.5	8.0	斤	2022-04-13 00:00:00
松花蛋	6.7	9.0	7.85	斤	2022-04-13 00:00:00
鹅蛋	11.5	13.0	12.25	斤	2022-04-13 00:00:00
鹌鹑蛋	7.2	8.0	7.6	斤	2022-04-13 00:00:00
柴鸡蛋	4.77	8.5	6.64	斤	2022-04-13 00:00:00
乌鸡蛋	7.5	8.5	8.0	斤	2022-04-13 00:00:00
鸵鸟蛋	100.0	110.0	105.0	个	2022-04-13 00:00:00
鸽子蛋	2.8	3.0	2.9	个	2022-04-13 00:00:00
鲤鱼	6.5	7.0	6.75	斤	2022-04-13 00:00:00
鲤鱼	7.0	7.5	7.25	斤	2022-04-13 00:00:00
草鱼	9.0	9.5	9.25	斤	2022-04-13 00:00:00
草鱼	9.0	9.5	9.25	斤	2022-04-13 00:00:00
鲫鱼	11.0	11.0	11.0	斤	2022-04-13 00:00:00
鲫鱼	11.5	12.0	11.75	斤	2022-04-13 00:00:00
鲫鱼	12.0	12.5	12.25	斤	2022-04-13 00:00:00
胖头鱼	12.5	12.5	12.5	斤	2022-04-13 00:00:00
胖头鱼	12.0	12.0	12.0	斤	2022-04-13 00:00:00
武昌鱼	10.0	11.0	10.5	斤	2022-04-13 00:00:00
品名	最低价	最高价	均价	单位	日期
L600吊秧瓜	5.0	5.8	5.4	斤	2022-04-13 00:00:00
国产香蕉	3.6	4.0	3.8	斤	2022-04-13 00:00:00
南美、菲律宾香蕉	3.8	4.3	4.05	斤	2022-04-13 00:00:00
泰国香蕉	7.5	8.4	7.95	斤	2022-04-13 00:00:00
晓蜜25号	4.2	5.0	4.6	斤	2022-04-13 00:00:00
黄金瓜	4.5	5.5	5.0	斤	2022-04-13 00:00:00
玉菇	5.0	5.6	5.3	斤	2022-04-13 00:00:00
网纹	6.4	7.6	7.0	斤	2022-04-13 00:00:00
长香玉	4.6	5.2	4.9	斤	2022-04-13 00:00:00
羊角蜜	6.5	7.5	7.0	斤	2022-04-13 00:00:00
北海一号	4.0	5.0	4.5	斤	2022-04-13 00:00:00
东方蜜一号	4.0	5.5	4.75	斤	2022-04-13 00:00:00
花蕾甜瓜	8.0	8.5	8.25	斤	2022-04-13 00:00:00
绿宝甜瓜	7.0	8.0	7.5	斤	2022-04-13 00:00:00
东北甜瓜	8.0	9.0	8.5	斤	2022-04-13 00:00:00
博阳	7.0	8.5	7.75	斤	2022-04-13 00:00:00
富士	2.2	3.5	2.85	斤	2022-04-13 00:00:00
富士	3.5	5.0	4.25	斤	2022-04-13 00:00:00
富士	2.0	3.0	2.5	斤	2022-04-13 00:00:00
黄元帅	2.5	3.3	2.9	斤	2022-04-13 00:00:00
品名	最低价	最高价	均价	单位	日期
板栗	2.6	3.5	3.05	斤	2022-04-13 00:00:00
油栗	6.0	10.0	8.0	斤	2022-04-13 00:00:00
木瓜	4.0	4.5	4.25	斤	2022-04-13 00:00:00
柿饼	6.0	12.0	9.0	斤	2022-04-13 00:00:00
甘蔗	1.5	1.6	1.55	斤	2022-04-13 00:00:00
柠檬	4.5	5.0	4.75	斤	2022-04-13 00:00:00
山楂	3.5	6.0	4.75	斤	2022-04-13 00:00:00
姑娘果（灯笼果）	10.0	25.0	17.5	斤	2022-04-13 00:00:00
鸭梨	2.4	3.0	2.7	斤	2022-04-13 00:00:00
雪花梨	2.2	2.6	2.4	斤	2022-04-13 00:00:00
皇冠梨	4.0	4.3	4.15	斤	2022-04-13 00:00:00
南果梨	1.0	4.0	2.5	斤	2022-04-13 00:00:00
丰水梨	4.0	4.4	4.2	斤	2022-04-13 00:00:00
酥梨	2.2	3.0	2.6	斤	2022-04-13 00:00:00
库尔勒香梨	3.0	4.5	3.75	斤	2022-04-13 00:00:00
红香酥梨	2.4	2.8	2.6	斤	2022-04-13 00:00:00
红啤梨	5.0	5.5	5.25	斤	2022-04-13 00:00:00
京白梨	1.6	2.5	2.05	斤	2022-04-13 00:00:00
砂糖橘	1.5	3.5	2.5	斤	2022-04-13 00:00:00
耙耙柑	3.5	6.6	5.05	斤	2022-04-13 00:00:00
品名	最低价	最高价	均价	单位	日期
鲢鱼	4.5	6.0	5.25	斤	2022-04-13 00:00:00
鲢鱼	4.0	4.5	4.25	斤	2022-04-13 00:00:00
鲶鱼	4.5	4.5	4.5	斤	2022-04-13 00:00:00
松花鱼	12.0	12.0	12.0	斤	2022-04-13 00:00:00
黑鱼	11.0	13.0	12.0	斤	2022-04-13 00:00:00
黑鱼	14.0	16.0	15.0	斤	2022-04-13 00:00:00
黄鳝	36.0	36.0	36.0	斤	2022-04-13 00:00:00
黄鳝	38.0	38.0	38.0	斤	2022-04-13 00:00:00
罗非鱼	11.0	11.0	11.0	斤	2022-04-13 00:00:00
虹鳟鱼	23.0	23.0	23.0	斤	2022-04-13 00:00:00
鲟鱼	14.0	15.0	14.5	斤	2022-04-13 00:00:00
青鱼	12.0	13.0	12.5	斤	2022-04-13 00:00:00
桂鱼	37.0	38.0	37.5	斤	2022-04-13 00:00:00
嘎鱼	18.0	19.0	18.5	斤	2022-04-13 00:00:00
嘎鱼	21.0	21.0	21.0	斤	2022-04-13 00:00:00
淡水鲈鱼	18.0	19.0	18.5	斤	2022-04-13 00:00:00
泥鳅	14.0	16.0	15.0	斤	2022-04-13 00:00:00
清江鱼	15.8	16.5	16.15	斤	2022-04-13 00:00:00
多宝鱼	30.0	30.0	30.0	斤	2022-04-13 00:00:00
平鱼	6.0	7.0	6.5	斤	2022-04-13 00:00:00
品名	最低价	最高价	均价	单位	日期
平鱼	12.0	15.0	13.5	斤	2022-04-13 00:00:00
平鱼	22.0	24.0	23.0	斤	2022-04-13 00:00:00
平鱼	36.0	37.0	36.5	斤	2022-04-13 00:00:00
鱿鱼	15.0	15.0	15.0	斤	2022-04-13 00:00:00
鱿鱼	20.0	20.0	20.0	斤	2022-04-13 00:00:00
海鲈鱼	12.0	12.0	12.0	斤	2022-04-13 00:00:00
墨鱼	23.0	23.0	23.0	斤	2022-04-13 00:00:00
金鲳鱼	19.0	19.0	19.0	斤	2022-04-13 00:00:00
金鲳鱼	20.0	20.0	20.0	斤	2022-04-13 00:00:00
白虾	20.0	25.0	22.5	斤	2022-04-13 00:00:00
白虾（笼装）	45.0	46.0	45.5	斤	2022-04-13 00:00:00
白虾（笼装）	43.0	44.0	43.5	斤	2022-04-13 00:00:00
小龙虾	18.0	28.0	23.0	斤	2022-04-13 00:00:00
鲍鱼	11.0	12.0	11.5	个	2022-04-13 00:00:00
鲍鱼	7.0	9.0	8.0	个	2022-04-13 00:00:00
鲍鱼	5.0	6.0	5.5	个	2022-04-13 00:00:00
扇贝	48.0	48.0	48.0	斤	2022-04-13 00:00:00
扇贝	28.0	30.0	29.0	斤	2022-04-13 00:00:00
扇贝	28.0	28.0	28.0	斤	2022-04-13 00:00:00
小红扇贝	7.0	9.0	8.0	斤	2022-04-13 00:00:00
品名	最低价	最高价	均价	单位	日期
沙蜜托	20.0	23.0	21.5	斤	2022-04-13 00:00:00
白条猪	8.25	8.25	8.25	斤	2022-04-13 00:00:00
白条猪	7.25	7.25	7.25	斤	2022-04-13 00:00:00
前臀尖	7.5	8.0	7.75	斤	2022-04-13 00:00:00
前臀尖	6.5	7.5	7.0	斤	2022-04-13 00:00:00
后臀尖	7.5	8.0	7.75	斤	2022-04-13 00:00:00
后臀尖	6.5	7.5	7.0	斤	2022-04-13 00:00:00
五花肉	10.5	12.0	11.25	斤	2022-04-13 00:00:00
五花肉	9.0	10.5	9.75	斤	2022-04-13 00:00:00
五花头	7.0	7.5	7.25	斤	2022-04-13 00:00:00
纯通脊	9.0	10.0	9.5	斤	2022-04-13 00:00:00
通脊	7.0	8.0	7.5	斤	2022-04-13 00:00:00
小里脊	11.0	12.0	11.5	斤	2022-04-13 00:00:00
梅花肉	9.0	10.0	9.5	斤	2022-04-13 00:00:00
纯瘦肉	7.5	8.5	8.0	斤	2022-04-13 00:00:00
护心肉	11.0	11.0	11.0	斤	2022-04-13 00:00:00
前肘	7.0	8.0	7.5	斤	2022-04-13 00:00:00
后肘（带骨）	5.5	6.5	6.0	斤	2022-04-13 00:00:00
后肘（去骨）	6.5	7.5	7.0	斤	2022-04-13 00:00:00
猪尾巴	39.0	40.0	39.5	斤	2022-04-13 00:00:00
品名	最低价	最高价	均价	单位	日期
奶白菜	2.5	3.5	3.0	斤	2022-04-13 00:00:00
散生菜	2.0	2.5	2.25	斤	2022-04-13 00:00:00
香葱	2.0	3.0	2.5	斤	2022-04-13 00:00:00
茼蒿	3.5	4.0	3.75	斤	2022-04-13 00:00:00
蒿子秆	1.8	2.0	1.9	斤	2022-04-13 00:00:00
水萝卜	3.0	3.5	3.25	斤	2022-04-13 00:00:00
樱桃萝卜	1.5	2.0	1.75	斤	2022-04-13 00:00:00
香芹	3.5	4.5	4.0	斤	2022-04-13 00:00:00
菠菜	2.5	3.5	3.0	斤	2022-04-13 00:00:00
苋菜	2.5	3.0	2.75	斤	2022-04-13 00:00:00
菊花菜	1.5	2.0	1.75	斤	2022-04-13 00:00:00
黄心菜	5.0	6.0	5.5	斤	2022-04-13 00:00:00
青蒜	2.0	3.0	2.5	斤	2022-04-13 00:00:00
盖菜	2.0	2.5	2.25	斤	2022-04-13 00:00:00
芥兰	3.0	3.5	3.25	斤	2022-04-13 00:00:00
菜心	1.5	2.0	1.75	斤	2022-04-13 00:00:00
空心菜	2.5	3.0	2.75	斤	2022-04-13 00:00:00
鸡毛菜	1.5	2.0	1.75	斤	2022-04-13 00:00:00
荠菜	4.5	5.5	5.0	斤	2022-04-13 00:00:00
荆芥	6.0	7.0	6.5	斤	2022-04-13 00:00:00
